"atlas_block","sr_total","sr_Atlas1","sr_Atlas2","sr_diff","sr_diff_z"
"4408931CE",90,69,83,14,-0.571118956307038
"4408932CE",122,79,105,26,-0.216298969852259
"4408933CE",98,84,88,4,-0.866802278352687
"4408938CE",112,85,105,20,-0.393708963079648
"4408941CE",112,80,101,21,-0.364140630875083
"4408942CE",109,94,84,-10,-1.2807589292166
"4408943CE",97,76,89,13,-0.600687288511602
"4408944CE",112,73,103,30,-0.0980256410339994
"4408945CE",87,66,76,10,-0.689392285125297
"4408946CE",85,69,75,6,-0.807665613943557
"4408948CE",96,75,85,10,-0.689392285125297
"4408951CE",113,100,87,-13,-1.36946392583029
"4408952CE",124,91,100,9,-0.718960617329862
"4408954CE",99,72,91,19,-0.423277295284213
"4408955CE",140,89,125,36,0.07938435219339
"4408956CE",105,74,93,19,-0.423277295284213
"4408957CE",106,82,91,9,-0.718960617329862
"4408958CE",103,82,90,8,-0.748528949534427
"4408961CE",106,90,90,0,-0.985075607170946
"4408962CE",104,81,91,10,-0.689392285125297
"4408963CE",111,92,92,0,-0.985075607170946
"4408964CE",105,89,92,3,-0.896370610557251
"4408965CE",103,81,91,10,-0.689392285125297
"4408965SW",124,94,93,-1,-1.01464393937551
"4408966CE",92,73,83,10,-0.689392285125297
"4408967CE",128,98,113,15,-0.541550624102473
"4408968CE",173,94,169,75,1.23254930817142
"4408971CE",101,79,78,-1,-1.01464393937551
"4408972CE",98,83,77,-6,-1.16248560039834
"4408973CE",101,80,95,15,-0.541550624102473
"4408975CE",101,77,96,19,-0.423277295284213
"4408976CE",101,85,80,-5,-1.13291726819377
"4408977CE",104,87,94,7,-0.778097281738992
"4408981CE",113,96,87,-9,-1.25119059701203
"4408982CE",101,81,79,-2,-1.04421227158008
"4408983CE",95,73,89,16,-0.511982291897908
"4408984CE",99,87,87,0,-0.985075607170946
"4408985CE",90,71,83,12,-0.630255620716167
"4408986CE",135,77,123,46,0.375067674239039
"4408987CE",107,80,98,18,-0.452845627488778
"4408988CE",96,82,79,-3,-1.07378060378464
"4409011CE",113,88,90,2,-0.925938942761816
"4409012CE",165,113,160,47,0.404636006443604
"4409013CE",116,103,93,-10,-1.2807589292166
"4409014CE",118,104,102,-2,-1.04421227158008
"4409015CE",101,82,90,8,-0.748528949534427
"4409016CE",104,93,88,-5,-1.13291726819377
"4409017CE",101,80,89,9,-0.718960617329862
"4409018CE",98,81,78,-3,-1.07378060378464
"4409021CE",94,68,82,14,-0.571118956307038
"4409022CE",126,113,104,-9,-1.25119059701203
"4409023CE",101,84,92,8,-0.748528949534427
"4409024CE",124,102,95,-7,-1.1920539326029
"4409024NE",116,90,89,-1,-1.01464393937551
"4409025CE",112,92,99,7,-0.778097281738992
"4409025NW",112,94,89,-5,-1.13291726819377
"4409026CE",114,100,88,-12,-1.33989559362572
"4409027CE",80,56,67,11,-0.659823952920732
"4409028CE",99,73,90,17,-0.482413959693343
"4409031CE",114,85,104,19,-0.423277295284213
"4409032CE",140,94,120,26,-0.216298969852259
"4409034CE",131,107,111,4,-0.866802278352687
"4409035CE",113,87,99,12,-0.630255620716167
"4409035CW",117,103,103,0,-0.985075607170946
"4409036CE",105,85,92,7,-0.778097281738992
"4409037CE",104,80,94,14,-0.571118956307038
"4409037NE",132,116,113,-3,-1.07378060378464
"4409038CE",82,64,69,5,-0.837233946148122
"4409041CE",110,76,100,24,-0.275435634261389
"4409043CE",112,82,104,22,-0.334572298670519
"4409044CE",95,77,89,12,-0.630255620716167
"4409045CE",119,100,107,7,-0.778097281738992
"4409046CE",104,95,72,-23,-1.66514724787594
"4409047CE",105,91,92,1,-0.955507274966381
"4409048CE",87,61,72,11,-0.659823952920732
"4409054CE",93,82,88,6,-0.807665613943557
"4409055CE",91,71,74,3,-0.896370610557251
"4409056CE",115,80,111,31,-0.0684573088294345
"4409057CE",91,61,86,25,-0.245867302056824
"4409058CE",104,81,95,14,-0.571118956307038
"4409061CE",108,72,100,28,-0.157162305443129
"4409062CE",113,85,98,13,-0.600687288511602
"4409064CE",95,75,87,12,-0.630255620716167
"4409065CE",96,73,80,7,-0.778097281738992
"4409066CE",105,80,94,14,-0.571118956307038
"4409067CE",99,83,89,6,-0.807665613943557
"4409072CE",93,65,87,22,-0.334572298670519
"4409073CE",96,72,88,16,-0.511982291897908
"4409074CE",97,75,90,15,-0.541550624102473
"4409075CE",87,50,75,25,-0.245867302056824
"4409076CE",92,75,73,-2,-1.04421227158008
"4409077CE",103,75,96,21,-0.364140630875083
"4409078CE",96,77,84,7,-0.778097281738992
"4409081CE",75,60,64,4,-0.866802278352687
"4409082CE",86,77,68,-9,-1.25119059701203
"4409084CE",86,72,72,0,-0.985075607170946
"4409085CE",102,78,81,3,-0.896370610557251
"4409086CE",94,80,82,2,-0.925938942761816
"4409087CE",84,65,67,2,-0.925938942761816
"4409088CE",85,69,76,7,-0.778097281738992
"4409111CE",106,84,94,10,-0.689392285125297
"4409112CE",91,80,77,-3,-1.07378060378464
"4409113CE",102,84,94,10,-0.689392285125297
"4409114CE",83,70,76,6,-0.807665613943557
"4409115CE",164,109,157,48,0.434204338648169
"4409121CE",91,61,83,22,-0.334572298670519
"4409122CE",100,90,83,-7,-1.1920539326029
"4409123CE",80,66,67,1,-0.955507274966381
"4409125CE",92,74,80,6,-0.807665613943557
"4409126CE",96,86,74,-12,-1.33989559362572
"4409127CE",104,89,92,3,-0.896370610557251
"4409131CE",95,72,90,18,-0.452845627488778
