"atlas_block","sr_total","sr_Atlas1","sr_Atlas2","sr_diff","sr_diff_z"
"4308787SE",64,1,64,63,0.877729321716642
"4308788CE",135,97,117,20,-0.393708963079648
"4308788CW",67,23,60,37,0.108952684397955
"4308811CE",121,57,114,57,0.700319328489253
"4308811CW",39,7,38,31,-0.0684573088294345
"4308811NE",95,6,95,89,1.64650595903533
"4308811NW",31,5,29,24,-0.275435634261389
"4308811SE",117,49,114,65,0.936865986125772
"4308811SW",53,7,52,45,0.345499342034474
"4308812CE",75,58,65,7,-0.778097281738992
"4308812CW",102,37,94,57,0.700319328489253
"4308812NE",44,21,37,16,-0.511982291897908
"4308812NW",56,6,53,47,0.404636006443604
"4308812SE",57,10,53,43,0.286362677625344
"4308812SW",88,61,73,12,-0.630255620716167
"4308813CE",86,69,70,1,-0.955507274966381
"4308813CW",65,2,64,62,0.848160989512077
"4308813NE",99,73,74,1,-0.955507274966381
"4308813NW",86,19,85,66,0.966434318330337
"4308813SE",108,12,107,95,1.82391595226272
"4308813SW",57,17,50,33,-0.0093206444203047
"4308814CE",108,60,99,39,0.168089348807085
"4308814CW",48,36,28,-8,-1.22162226480747
"4308814NE",96,5,96,91,1.70564262344446
"4308814NW",53,11,50,39,0.168089348807085
"4308814SE",132,79,127,48,0.434204338648169
"4308814SW",86,11,82,71,1.11427597935316
"4308815CE",104,74,95,21,-0.364140630875083
"4308815CW",53,51,5,-46,-2.34521888858093
"4308815NE",39,7,37,30,-0.0980256410339994
"4308815NW",32,1,32,31,-0.0684573088294345
"4308815SE",136,9,134,125,2.71096591839967
"4308815SW",69,40,60,20,-0.393708963079648
"4308816CE",86,70,76,6,-0.807665613943557
"4308816NE",3,1,2,1,-0.955507274966381
"4308816SE",25,2,23,21,-0.364140630875083
"4308816SW",39,1,39,38,0.13852101660252
"4308817CE",116,70,112,42,0.256794345420779
"4308817SE",38,2,38,36,0.07938435219339
"4308817SW",70,1,70,69,1.05513931494403
"4308818CE",160,89,157,68,1.02557098273947
"4308818CW",171,74,169,95,1.82391595226272
"4308818NE",117,62,115,53,0.582045999670993
"4308818NW",62,2,62,60,0.789024325102947
"4308818SE",64,3,64,61,0.818592657307512
"4308818SW",118,54,112,58,0.729887660693818
"4308821CE",151,55,150,95,1.82391595226272
"4308821CW",104,44,100,56,0.670750996284688
"4308821NE",115,52,108,56,0.670750996284688
"4308821NW",53,4,51,47,0.404636006443604
"4308821SE",109,57,101,44,0.315931009829909
"4308821SW",87,28,86,58,0.729887660693818
"4308822CE",90,72,77,5,-0.837233946148122
"4308822CW",50,11,47,36,0.07938435219339
"4308822NE",64,50,54,4,-0.866802278352687
"4308822NW",29,5,26,21,-0.364140630875083
"4308822SE",65,11,60,49,0.463772670852734
"4308822SW",18,7,14,7,-0.778097281738992
"4308823CE",80,68,69,1,-0.955507274966381
"4308823CW",127,44,123,79,1.35082263698968
"4308823NE",109,100,75,-25,-1.72428391228507
"4308823NW",94,84,67,-17,-1.48773725464855
"4308823SE",43,1,43,42,0.256794345420779
"4308823SW",72,16,69,53,0.582045999670993
"4308824CE",95,78,74,-4,-1.10334893598921
"4308824CW",49,2,47,45,0.345499342034474
"4308824NE",75,62,56,-6,-1.16248560039834
"4308824NW",43,29,24,-5,-1.13291726819377
"4308824SE",61,14,61,47,0.404636006443604
"4308824SW",6,1,5,4,-0.866802278352687
"4308825CE",109,71,103,32,-0.0388889766248696
"4308825NE",73,11,71,60,0.789024325102947
"4308825NW",28,2,26,24,-0.275435634261389
"4308825SE",75,4,75,71,1.11427597935316
"4308825SW",64,1,64,63,0.877729321716642
"4308826CE",93,45,92,47,0.404636006443604
"4308826CW",67,1,67,66,0.966434318330337
"4308826NW",13,2,11,9,-0.718960617329862
"4308827CE",77,51,76,25,-0.245867302056824
"4308827NE",48,8,45,37,0.108952684397955
"4308827NW",98,40,97,57,0.700319328489253
"4308827SE",60,1,60,59,0.759455992898383
"4308827SW",38,1,38,37,0.108952684397955
"4308828CE",101,69,93,24,-0.275435634261389
"4308828CW",92,71,81,10,-0.689392285125297
"4308828NE",85,50,80,30,-0.0980256410339994
"4308828SE",149,44,148,104,2.0900309421038
"4308831CE",99,63,94,31,-0.0684573088294345
"4308831NE",133,74,128,54,0.611614331875558
"4308831NW",100,38,95,57,0.700319328489253
"4308831SE",59,6,57,51,0.522909335261863
"4308831SW",78,2,77,75,1.23254930817142
"4308832CE",77,59,70,11,-0.659823952920732
"4308832CW",37,6,35,29,-0.127593973238564
"4308832NE",104,79,90,11,-0.659823952920732
"4308832NW",64,20,60,40,0.19765768101165
"4308832SE",13,3,11,8,-0.748528949534427
"4308832SW",45,2,44,42,0.256794345420779
"4308833CE",113,100,93,-7,-1.1920539326029
"4308833CW",119,81,108,27,-0.186730637647694
"4308833NE",33,6,32,26,-0.216298969852259
"4308833NW",53,3,50,47,0.404636006443604
