atlas_block,checklists_total,checklists_Atlas1,checklists_Atlas2,checklists_diff,sr_total,sr_Atlas1,sr_Atlas2,sr_diff
4408845NW,8,1,7,6,56,1,55,54
4408845SW,39,2,37,35,145,6,143,137
4408846CE,43,8,35,27,115,74,108,34
4408846SE,58,9,49,40,102,10,100,90
4408846SW,137,2,135,133,146,21,145,124
4408847CE,71,17,54,37,128,62,121,59
4408847SE,84,3,81,78,133,15,132,117
4408848CE,35,4,31,27,89,65,71,6
4408848NE,17,1,16,15,72,1,72,71
4408848SE,13,1,12,11,84,1,84,83
4408851CE,373,37,336,299,191,76,190,114
4408851CW,50,21,29,8,71,18,67,49
4408851NE,168,18,150,132,162,34,160,126
4408851NW,32,9,23,14,66,11,62,51
4408851SE,63,5,58,53,78,5,78,73
4408851SW,37,5,32,27,72,5,72,67
4408852CE,84,23,61,38,111,76,98,22
4408852NW,6,1,5,4,37,1,36,35
4408852SE,450,38,412,374,139,72,135,63
4408853CE,58,7,51,44,95,65,84,19
4408854CE,45,8,37,29,108,75,92,17
4408855CE,43,9,34,25,109,71,105,34
4408855CW,2,1,1,0,43,1,43,42
4408855NW,10,4,6,2,53,4,51,47
4408855SE,4,1,3,2,51,1,50,49
4408855SW,96,7,89,82,141,42,137,95
4408856CE,43,16,27,11,117,88,104,16
4408856NE,13,2,11,9,50,4,48,44
4408856NW,38,1,37,36,66,2,66,64
4408856SE,3,1,2,1,23,1,22,21
4408857CE,35,7,28,21,99,85,85,0
4408858CE,63,5,58,53,106,80,97,17
4408858CW,58,1,57,56,77,1,77,76
4408861CE,55,18,37,19,115,64,109,45
4408861CW,27,11,16,5,94,71,76,5
4408861SE,226,3,223,220,160,7,160,153
4408861SW,47,1,46,45,81,1,81,80
4408863CE,47,8,39,31,78,64,68,4
4408863SE,7,1,6,5,39,1,38,37
4408863SW,28,19,9,-10,35,25,18,-7
4408864CE,67,16,51,35,102,70,91,21
4408864NW,28,22,6,-16,124,117,49,-68
4408864SE,23,1,22,21,63,1,62,61
4408865CE,102,45,57,12,117,62,108,46
4408865CW,30,4,26,22,83,3,81,78
4408865SE,111,13,98,85,134,119,114,-5
4408865SW,59,10,49,39,85,18,77,59
4408866CE,33,4,29,25,111,75,105,30
4408866NE,14,1,13,12,63,1,62,61
4408867CE,24,9,15,6,108,78,97,19
4408867NE,13,3,10,7,61,3,60,57
4408867NW,77,74,3,-71,78,69,50,-19
4408867SE,8,2,6,4,46,2,44,42
4408867SW,4,3,1,-2,24,3,22,19
4408868CE,37,16,21,5,114,100,95,-5
4408868NE,13,6,7,1,50,16,44,28
4408868NW,2,1,1,0,21,1,20,19
4408868SE,8,1,7,6,56,1,55,54
4408871CE,60,11,49,38,98,33,93,60
4408871NE,9,4,5,1,7,5,3,-2
4408871NW,8,1,7,6,49,1,48,47
4408872CE,69,6,63,57,100,34,98,64
4408872NE,3,1,2,1,2,1,1,0
4408872SE,25,1,24,23,79,1,79,78
4408873CE,37,4,33,29,108,81,104,23
4408874CE,106,5,101,96,126,78,117,39
4408875CE,56,15,41,26,124,107,109,2
4408875CW,4,2,2,0,4,2,2,0
4408875SW,57,3,54,51,64,3,64,61
4408876CE,63,3,60,57,98,74,85,11
4408876NE,3,1,2,1,16,1,15,14
4408877CE,93,4,89,85,115,76,98,22
4408878CE,62,21,41,20,87,63,76,13
4408878NE,2,1,1,0,15,1,14,13
4408878SE,4,1,3,2,6,1,5,4
4408881CE,130,56,74,18,104,77,86,9
4408881SE,11,3,8,5,50,3,48,45
4408882CE,55,7,48,41,108,59,107,48
4408883CE,51,6,45,39,105,64,99,35
4408884CE,44,6,38,32,114,95,101,6
4408885CE,46,6,40,34,100,78,83,5
4408885SE,48,1,47,46,60,1,60,59
4408885SW,65,1,64,63,66,1,66,65
4408886CE,31,5,26,21,100,86,86,0
4408886NE,6,1,5,4,33,1,33,32
4408887CE,79,12,67,55,127,98,115,17
4408887NW,6,1,5,4,32,1,31,30
4408888CE,70,9,61,52,112,96,98,2
4408888CW,14,2,12,10,46,2,44,42
4408888SW,3,1,2,1,17,1,16,15
4408911CE,73,7,66,59,113,77,109,32
4408912CE,72,10,62,52,96,71,89,18
4408912NW,31,11,20,9,81,42,72,30
4408912SW,13,1,12,11,57,1,57,56
4408913CE,139,12,127,115,119,85,103,18
4408913CW,52,34,18,-16,88,71,59,-12
4408913SE,18,1,17,16,77,1,77,76
4408913SW,47,1,46,45,90,2,90,88
4408914CE,79,13,66,53,102,81,92,11
4408914CW,21,1,20,19,78,2,78,76
4408914NW,41,16,25,9,100,86,86,0
4408914SE,15,1,14,13,77,49,66,17
4408915CE,70,8,62,54,82,65,72,7
4408916CE,46,9,37,28,101,71,96,25
4408916NE,19,6,13,7,85,74,59,-15
4408917CE,51,7,44,37,101,69,96,27
4408917SE,6,2,4,2,32,1,31,30
4408918CE,23,5,18,13,93,68,83,15
4408921CE,73,8,65,57,104,83,97,14
4408921NW,30,1,29,28,44,1,43,42
4408922CE,101,17,84,67,96,67,88,21
4408922CW,57,6,51,45,74,9,73,64
4408923CE,63,11,52,41,100,84,84,0
4408924CE,28,4,24,20,93,62,84,22
4408924NE,48,1,47,46,42,1,42,41
4408925CE,43,27,16,-11,92,65,75,10
4408926CE,60,7,53,46,120,76,118,42
4408927CE,39,6,33,27,112,93,103,10
4408927SW,6,1,5,4,30,1,29,28
4408928CE,21,5,16,11,100,74,86,12
4408931CE,35,8,27,19,90,69,83,14
4408931NW,23,1,22,21,60,1,60,59
4408931SE,16,1,15,14,42,1,41,40
4408932CE,84,13,71,58,122,79,105,26
4408932CW,141,3,138,135,136,5,136,131
4408932SW,10,2,8,6,70,2,68,66
4408933CE,53,25,28,3,98,84,88,4
4408934CE,27,7,20,13,83,58,78,20
4408934NE,3,2,1,-1,4,3,1,-2
4408934NW,11,1,10,9,69,1,69,68
4408935CE,46,18,28,10,97,59,83,24
4408935CW,84,4,80,76,89,6,89,83
4408935NE,27,2,25,23,59,1,59,58
4408935NW,149,9,140,131,122,55,119,64
4408935SE,3,1,2,1,7,1,6,5
4408935SW,42,3,39,36,79,2,77,75
4408936CE,106,33,73,40,107,64,105,41
4408936CW,2,1,1,0,5,1,4,3
4408936NE,35,2,33,31,69,2,69,67
4408936NW,19,5,14,9,63,6,60,54
4408936SE,48,34,14,-20,75,28,63,35
4408937CE,29,10,19,9,93,60,86,26
4408938CE,31,3,28,25,112,85,105,20
4408938NW,11,4,7,3,45,1,44,43
4408941CE,46,3,43,40,112,80,101,21
4408942CE,41,7,34,27,109,94,84,-10
4408943CE,21,10,11,1,97,76,89,13
4408943NE,32,1,31,30,62,1,62,61
4408943SE,7,2,5,3,47,1,46,45
4408943SW,3,1,2,1,5,1,4,3
4408944CE,33,12,21,9,112,73,103,30
4408945CE,43,8,35,27,87,66,76,10
4408945NE,84,29,55,26,109,28,104,76
4408945NW,47,17,30,13,104,17,100,83
4408945SW,40,3,37,34,58,2,57,55
4408946CE,43,14,29,15,85,69,75,6
4408946CW,8,2,6,4,41,2,40,38
4408946NE,12,4,8,4,62,4,59,55
4408947CE,42,33,9,-24,109,71,96,25
4408948CE,45,3,42,39,96,75,85,10
4408951CE,55,17,38,21,113,100,87,-13
4408952CE,88,41,47,6,124,91,100,9
4408952NW,21,13,8,-5,65,40,53,13
4408952SE,25,18,7,-11,47,27,33,6
4408953CE,64,18,46,28,120,70,116,46
4408953CW,69,68,1,-67,108,104,48,-56
4408953NE,30,2,28,26,58,2,58,56
4408953SE,31,1,30,29,44,1,43,42
4408953SW,14,3,11,8,66,3,64,61
4408954CE,33,7,26,19,99,72,91,19
4408954CW,26,17,9,-8,123,85,99,14
4408955CE,99,30,69,39,140,89,125,36
4408955CW,28,20,8,-12,45,19,39,20
4408955NE,61,12,49,37,113,18,109,91
4408955NW,18,9,9,0,52,19,40,21
4408955SE,138,54,84,30,135,71,127,56
4408955SW,74,24,50,26,117,25,113,88
4408956CE,47,13,34,21,105,74,93,19
4408956SE,7,3,4,1,67,4,65,61
4408956SW,8,1,7,6,49,1,48,47
4408957CE,75,11,64,53,106,82,91,9
4408958CE,32,4,28,24,103,82,90,8
4408958CW,2,1,1,0,5,1,4,3
4408958SE,2,1,1,0,11,2,9,7
4408961CE,47,5,42,37,106,90,90,0
4408962CE,102,27,75,48,104,81,91,10
4408962CW,10,3,7,4,78,65,44,-21
4408962SW,6,2,4,2,41,2,39,37
4408963CE,71,5,66,61,111,92,92,0
4408963SE,31,1,30,29,60,1,60,59
4408963SW,2,1,1,0,2,1,1,0
4408964CE,44,4,40,36,105,89,92,3
4408964NE,7,1,6,5,52,1,52,51
4408965CE,40,10,30,20,103,81,91,10
4408965CW,7,1,6,5,48,1,47,46
4408965SE,14,4,10,6,58,4,55,51
4408965SW,62,34,28,-6,124,94,93,-1
4408966CE,26,5,21,16,92,73,83,10
4408966CW,9,1,8,7,41,1,40,39
4408966SE,12,2,10,8,72,2,70,68
4408967CE,37,16,21,5,128,98,113,15
4408967CW,87,1,86,85,141,1,141,140
4408967NW,51,3,48,45,129,7,128,121
4408967SW,31,2,29,27,61,2,59,57
4408968CE,109,22,87,65,173,94,169,75
4408968CW,28,5,23,18,125,3,124,121
4408968NE,47,4,43,39,133,5,133,128
4408971CE,39,3,36,33,101,79,78,-1
4408972CE,33,6,27,21,98,83,77,-6
4408972NW,8,2,6,4,45,2,44,42
4408973CE,19,5,14,9,101,80,95,15
4408973SE,3,1,2,1,60,1,59,58
4408974CE,21,4,17,13,106,76,101,25
4408974NW,37,1,36,35,61,1,61,60
4408974SE,2,1,1,0,2,1,1,0
4408975CE,41,5,36,31,101,77,96,19
4408975CW,2,1,1,0,2,1,1,0
4408976CE,59,10,49,39,101,85,80,-5
4408976CW,9,4,5,1,27,4,24,20
4408976NE,17,6,11,5,11,7,5,-2
4408977CE,51,12,39,27,104,87,94,7
4408978CE,28,7,21,14,92,67,85,18
4408981CE,41,3,38,35,113,96,87,-9
4408982CE,28,2,26,24,101,81,79,-2
4408982SW,3,1,2,1,18,1,17,16
4408983CE,74,4,70,66,95,73,89,16
4408984CE,72,9,63,54,99,87,87,0
4408985CE,45,17,28,11,90,71,83,12
4408985CW,35,21,14,-7,75,49,51,2
4408985SE,25,1,24,23,61,4,57,53
4408986CE,167,34,133,99,135,77,123,46
4408986NE,102,6,96,90,84,9,84,75
4408986NW,30,1,29,28,46,3,44,41
4408986SE,14,2,12,10,51,2,49,47
4408986SW,51,40,11,-29,102,94,72,-22
4408987CE,33,8,25,17,107,80,98,18
4408987SE,7,1,6,5,47,1,46,45
4408988CE,37,5,32,27,96,82,79,-3
4408988SE,7,1,6,5,47,1,46,45
4408988SW,3,1,2,1,16,1,15,14
4409011CE,35,5,30,25,113,88,90,2
4409011NW,10,1,9,8,46,1,45,44
4409012CE,186,32,154,122,165,113,160,47
4409012CW,68,2,66,64,118,2,118,116
4409012NE,7,2,5,3,3,2,1,-1
4409012NW,53,1,52,51,97,1,96,95
4409012SE,28,1,27,26,71,1,70,69
4409012SW,6,1,5,4,44,1,44,43
4409013CE,63,11,52,41,116,103,93,-10
4409013CW,8,3,5,2,49,2,49,47
4409013NW,11,1,10,9,59,1,59,58
4409013SW,19,4,15,11,77,4,75,71
4409014CE,70,15,55,40,118,104,102,-2
4409014CW,22,1,21,20,63,2,61,59
4409014SW,20,1,19,18,59,1,58,57
4409015CE,158,17,141,124,101,82,90,8
4409015NW,9,1,8,7,57,2,55,53
4409015SE,7,2,5,3,8,2,6,4
4409016CE,61,22,39,17,104,93,88,-5
4409016NE,40,4,36,32,50,8,46,38
4409016SE,25,2,23,21,76,2,76,74
4409017CE,68,9,59,50,101,80,89,9
4409018CE,79,9,70,61,98,81,78,-3
4409021CE,34,12,22,10,94,68,82,14
4409021SE,26,1,25,24,61,2,60,58
4409021SW,16,1,15,14,41,1,41,40
4409022CE,92,19,73,54,126,113,104,-9
4409022NE,8,1,7,6,46,1,46,45
4409022SE,190,11,179,168,115,16,115,99
4409022SW,35,1,34,33,75,1,75,74
4409023CE,33,17,16,-1,101,84,92,8
4409023NE,13,6,7,1,50,5,46,41
4409023SE,28,6,22,16,64,10,60,50
4409023SW,19,5,14,9,44,5,40,35
4409024CE,41,8,33,25,124,102,95,-7
4409024NE,50,7,43,36,116,90,89,-1
4409024NW,2,1,1,0,3,2,1,-1
4409024SE,33,22,11,-11,81,49,59,10
4409024SW,63,61,2,-59,71,71,11,-60
4409025CE,41,9,32,23,112,92,99,7
4409025NE,15,6,9,3,56,4,55,51
4409025NW,87,10,77,67,112,94,89,-5
4409026CE,53,10,43,33,114,100,88,-12
4409026NE,9,2,7,5,34,2,32,30
4409026SE,34,2,32,30,64,3,63,60
4409026SW,8,1,7,6,9,2,7,5
4409027CE,41,11,30,19,80,56,67,11
4409027CW,16,9,7,-2,51,10,44,34
4409028CE,43,22,21,-1,99,73,90,17
4409028NE,7,2,5,3,42,1,41,40
4409028SW,105,55,50,-5,89,76,67,-9
4409031CE,25,4,21,17,114,85,104,19
4409031NE,6,1,5,4,10,1,9,8
4409031SW,6,1,5,4,36,1,35,34
4409032CE,120,55,65,10,140,94,120,26
4409032NE,9,5,4,-1,81,4,80,76
4409032NW,12,2,10,8,59,2,57,55
4409033CE,57,5,52,47,113,63,111,48
4409033CW,8,4,4,0,24,6,19,13
4409033NE,6,2,4,2,5,2,4,2
4409033SW,15,4,11,7,69,4,66,62
4409034CE,34,10,24,14,131,107,111,4
4409034SW,33,28,5,-23,62,44,34,-10
4409035CE,57,28,29,1,113,87,99,12
4409035CW,90,11,79,68,117,103,103,0
4409035NW,16,2,14,12,39,2,38,36
4409036CE,130,29,101,72,105,85,92,7
4409036NE,19,3,16,13,39,4,37,33
4409036NW,83,5,78,73,89,6,89,83
4409037CE,43,11,32,21,104,80,94,14
4409037NE,37,12,25,13,132,116,113,-3
4409037SW,45,5,40,35,94,5,94,89
4409038CE,36,5,31,26,82,64,69,5
4409041CE,18,4,14,10,110,76,100,24
4409041SE,9,3,6,3,48,3,46,43
4409042CE,41,3,38,35,104,73,100,27
4409042CW,7,1,6,5,49,1,48,47
4409043CE,37,3,34,31,112,82,104,22
4409043NW,14,1,13,12,35,1,34,33
4409043SW,2,1,1,0,2,1,1,0
4409044CE,26,9,17,8,95,77,89,12
4409044CW,10,1,9,8,40,3,39,36
4409045CE,32,5,27,22,119,100,107,7
4409045SW,2,1,1,0,2,1,1,0
4409046CE,23,8,15,7,104,95,72,-23
4409046CW,54,37,17,-20,85,60,69,9
4409046SE,10,4,6,2,49,5,47,42
4409046SW,39,3,36,33,69,6,65,59
4409047CE,30,8,22,14,105,91,92,1
4409048CE,43,20,23,3,87,61,72,11
4409051CE,48,7,41,34,95,64,87,23
4409051SW,10,1,9,8,57,1,56,55
4409052CE,22,4,18,14,109,75,105,30
4409053CE,45,8,37,29,107,70,101,31
4409053NE,24,1,23,22,56,1,56,55
4409053NW,24,1,23,22,48,1,48,47
4409054CE,39,10,29,19,93,82,88,6
4409054CW,2,1,1,0,3,1,2,1
4409054NE,2,1,1,0,4,3,1,-2
4409055CE,32,7,25,18,91,71,74,3
4409055CW,11,1,10,9,30,1,29,28
4409055SW,6,1,5,4,46,1,46,45
4409056CE,64,6,58,52,115,80,111,31
4409057CE,31,3,28,25,91,61,86,25
4409057NW,7,2,5,3,32,3,31,28
4409057SE,2,1,1,0,20,1,19,18
4409058CE,40,8,32,24,104,81,95,14
4409058NE,6,1,5,4,4,1,4,3
4409058NW,12,3,9,6,42,3,42,39
4409061CE,43,10,33,23,108,72,100,28
4409061CW,20,1,19,18,59,1,58,57
4409062CE,115,25,90,65,113,85,98,13
4409062CW,158,26,132,106,114,72,107,35
4409062NE,31,4,27,23,121,4,119,115
4409062NW,16,2,14,12,76,3,73,70
4409062SE,33,1,32,31,32,1,32,31
4409062SW,73,6,67,61,110,6,109,103
4409063CE,63,7,56,49,96,69,91,22
4409063NE,12,1,11,10,40,2,39,37
4409064CE,43,8,35,27,95,75,87,12
4409064NW,3,1,2,1,17,2,17,15
4409065CE,29,6,23,17,96,73,80,7
4409065NE,7,1,6,5,42,1,42,41
4409066CE,38,6,32,26,105,80,94,14
4409066NW,4,3,1,-2,6,3,4,1
4409067CE,27,7,20,13,99,83,89,6
4409067CW,8,1,7,6,44,3,43,40
4409067NE,13,5,8,3,53,3,52,49
4409067SE,8,1,7,6,48,1,48,47
4409067SW,2,1,1,0,3,1,2,1
4409068CE,40,8,32,24,85,60,81,21
4409068CW,15,2,13,11,54,2,53,51
4409071CE,49,4,45,41,107,71,101,30
4409071NW,48,1,47,46,65,1,64,63
4409071SW,51,1,50,49,59,1,58,57
4409072CE,48,8,40,32,93,65,87,22
4409072CW,5,2,3,1,14,2,13,11
4409072NE,2,1,1,0,10,2,8,6
4409072NW,10,1,9,8,49,1,48,47
4409072SE,3,2,1,-1,4,2,2,0
4409072SW,9,1,8,7,41,1,40,39
4409073CE,67,13,54,41,96,72,88,16
4409073CW,21,4,17,13,36,4,35,31
4409073NE,3,2,1,-1,6,2,5,3
4409073NW,18,11,7,-4,72,66,38,-28
4409073SE,14,8,6,-2,20,8,13,5
4409073SW,41,4,37,33,59,4,58,54
4409074CE,37,6,31,25,97,75,90,15
4409074CW,9,8,1,-7,12,11,1,-10
4409074SW,6,1,5,4,34,2,33,31
4409075CE,38,8,30,22,87,50,75,25
4409075CW,2,1,1,0,5,1,4,3
4409076CE,36,7,29,22,92,75,73,-2
4409076NE,3,2,1,-1,14,3,12,9
4409076SW,10,3,7,4,49,2,48,46
4409077CE,65,5,60,55,103,75,96,21
4409077SE,5,1,4,3,6,1,6,5
4409078CE,52,8,44,36,96,77,84,7
4409078CW,3,1,2,1,3,1,2,1
4409078NW,36,30,6,-24,55,33,35,2
4409081CE,23,2,21,19,75,60,64,4
4409081SE,7,1,6,5,49,1,48,47
4409082CE,36,7,29,22,86,77,68,-9
4409082CW,11,4,7,3,39,4,37,33
4409082SE,6,1,5,4,31,1,30,29
4409082SW,8,2,6,4,20,2,18,16
4409083CE,45,10,35,25,86,54,76,22
4409083CW,15,2,13,11,42,2,41,39
4409083NW,3,1,2,1,4,1,3,2
4409083SW,34,3,31,28,35,3,33,30
4409084CE,39,22,17,-5,86,72,72,0
4409084CW,8,1,7,6,38,2,36,34
4409084NE,9,3,6,3,38,4,35,31
4409084SE,41,2,39,37,55,2,54,52
4409084SW,21,1,20,19,39,2,39,37
4409085CE,38,6,32,26,102,78,81,3
4409085NE,12,1,11,10,57,1,57,56
4409085NW,14,3,11,8,67,6,66,60
4409085SE,24,1,23,22,58,2,57,55
4409085SW,19,2,17,15,35,2,34,32
4409086CE,37,10,27,17,94,80,82,2
4409086NE,6,1,5,4,41,1,40,39
4409086NW,3,2,1,-1,19,2,17,15
4409086SE,16,3,13,10,49,5,48,43
4409087CE,39,9,30,21,84,65,67,2
4409087CW,26,20,6,-14,41,23,29,6
4409087NE,7,1,6,5,28,1,27,26
4409087SE,15,2,13,11,47,2,45,43
4409088CE,44,5,39,34,85,69,76,7
4409111CE,66,15,51,36,106,84,94,10
4409111SW,13,1,12,11,54,1,54,53
4409112CE,35,4,31,27,91,80,77,-3
4409113CE,195,30,165,135,102,84,94,10
4409114CE,85,13,72,59,83,70,76,6
4409114SE,10,1,9,8,15,2,14,12
4409114SW,61,2,59,57,128,81,120,39
4409115CE,144,51,93,42,164,109,157,48
4409116CE,24,10,14,4,86,70,66,-4
4409116NE,28,1,27,26,75,1,75,74
4409116NW,2,1,1,0,8,1,7,6
4409121CE,91,15,76,61,91,61,83,22
4409122CE,34,11,23,12,100,90,83,-7
4409123CE,35,4,31,27,80,66,67,1
4409124CE,22,5,17,12,81,48,74,26
4409125CE,18,7,11,4,92,74,80,6
4409125SE,7,1,6,5,56,1,55,54
4409126CE,71,14,57,43,96,86,74,-12
4409126NE,44,1,43,42,67,4,67,63
4409127CE,39,14,25,11,104,89,92,3
4409127CW,8,1,7,6,54,1,54,53
4409127SE,19,1,18,17,85,1,85,84
4409131CE,27,5,22,17,95,72,90,18
4409132CE,37,7,30,23,100,79,84,5
4409132CW,3,1,2,1,30,1,29,28
4409133CE,31,8,23,15,103,74,91,17
4409133NW,6,1,5,4,31,1,30,29
4409134CE,34,5,29,24,86,68,77,9
4409135CE,35,4,31,27,86,70,80,10
4409136CE,34,6,28,22,91,73,87,14
4409137CE,34,5,29,24,92,75,85,10
4409138CE,71,9,62,53,95,66,92,26
4409138NE,29,2,27,25,49,2,49,47
4409138NW,9,1,8,7,45,1,44,43
4409141CE,26,4,22,18,81,44,72,28
4409141SE,13,5,8,3,37,2,37,35
4409142CE,42,6,36,30,89,71,79,8
4409143CE,42,4,38,34,92,72,81,9
4409144CE,25,8,17,9,88,62,84,22
4409145CE,23,4,19,15,89,56,86,30
4409146CE,28,6,22,16,96,72,91,19
4409147CE,37,8,29,21,112,97,101,4
4409148CE,42,6,36,30,89,68,87,19
4409151CE,74,6,68,62,106,81,92,11
4409152CE,63,10,53,43,92,70,83,13
4409152CW,10,2,8,6,20,2,20,18
4409152SE,2,1,1,0,2,1,1,0
4409153CE,37,6,31,25,99,72,94,22
4409154CE,40,10,30,20,88,64,82,18
4409154CW,7,2,5,3,9,2,7,5
4409154NW,9,4,5,1,41,5,39,34
4409155CE,32,6,26,20,93,71,82,11
4409155NE,3,2,1,-1,3,2,1,-1
4409155NW,6,1,5,4,49,1,48,47
4409156CE,72,36,36,0,92,74,86,12
4409156NW,6,1,5,4,42,1,42,41
4409156SE,5,4,1,-3,17,7,10,3
4409157CE,45,4,41,37,83,71,71,0
4409158CE,47,4,43,39,79,64,65,1
4409158CW,2,1,1,0,3,1,2,1
4409161CE,79,20,59,39,123,89,113,24
4409161CW,39,4,35,31,75,3,74,71
4409161NE,44,7,37,30,93,74,82,8
4409161NW,63,6,57,51,117,19,116,97
4409162CE,75,14,61,47,108,70,95,25
4409162NE,15,3,12,9,63,4,61,57
4409162NW,18,3,15,12,72,3,70,67
4409163CE,60,7,53,46,91,69,84,15
4409163CW,9,1,8,7,53,1,53,52
4409163SW,8,3,5,2,22,3,20,17
4409164CE,47,13,34,21,108,79,89,10
4409164CW,93,1,92,91,64,1,64,63
4409164NW,60,7,53,46,69,9,68,59
4409164SE,8,1,7,6,40,2,38,36
4409164SW,2,1,1,0,2,1,1,0
4409165CE,100,14,86,72,94,75,69,-6
4409165CW,71,64,7,-57,81,76,53,-23
4409165NE,170,35,135,100,99,78,90,12
4409165NW,44,1,43,42,77,1,77,76
4409165SE,7,1,6,5,40,1,40,39
4409165SW,6,4,2,-2,6,4,2,-2
4409166CE,160,17,143,126,121,103,109,6
4409166CW,16,4,12,8,69,4,68,64
4409166NE,58,4,54,50,76,4,74,70
4409166NW,65,6,59,53,84,7,81,74
4409166SE,8,3,5,2,41,3,39,36
4409167CE,34,14,20,6,108,89,91,2
4409167CW,38,2,36,34,92,2,92,90
4409167NE,47,7,40,33,69,6,67,61
4409167NW,84,7,77,70,131,6,131,125
4409167SE,7,2,5,3,39,2,37,35
4409168CE,43,8,35,27,106,73,96,23
4409168NE,33,1,32,31,121,1,121,120
4409168SW,16,2,14,12,71,3,70,67
4409171CE,53,9,44,35,103,80,88,8
4409171NW,8,2,6,4,47,3,45,42
4409171SW,53,2,51,49,71,1,71,70
4409172CE,111,11,100,89,108,82,97,15
4409172NE,37,1,36,35,73,1,72,71
4409172SE,32,1,31,30,55,1,54,53
4409172SW,11,1,10,9,58,1,58,57
4409173CE,124,45,79,34,121,95,108,13
4409173CW,20,8,12,4,43,6,41,35
4409173NE,2,1,1,0,7,1,6,5
4409173NW,12,1,11,10,59,4,59,55
4409173SE,22,10,12,2,37,11,33,22
4409173SW,12,2,10,8,47,2,46,44
4409174CE,121,19,102,83,112,34,109,75
4409174CW,179,43,136,93,105,22,101,79
4409174NE,10,4,6,2,14,3,12,9
4409174NW,26,10,16,6,59,8,59,51
4409174SE,167,5,162,157,129,5,129,124
4409174SW,75,38,37,-1,106,72,84,12
4409175CE,186,62,124,62,131,77,123,46
4409175CW,16,2,14,12,35,2,33,31
4409175NE,65,5,60,55,90,5,90,85
4409175NW,89,6,83,77,106,5,106,101
4409175SE,61,14,47,33,102,12,101,89
4409175SW,9,2,7,5,58,2,58,56
4409176CE,63,14,49,35,108,71,103,32
4409176CW,15,1,14,13,50,2,49,47
4409176NW,20,2,18,16,63,2,63,61
4409176SE,9,2,7,5,9,2,7,5
4409177CE,56,9,47,38,109,74,106,32
4409177NE,21,1,20,19,74,1,74,73
4409177NW,25,5,20,15,77,5,74,69
4409177SE,3,2,1,-1,3,2,1,-1
4409177SW,22,1,21,20,55,1,54,53
4409178CE,80,26,54,28,97,73,89,16
4409178CW,3,1,2,1,3,1,2,1
4409178NW,49,4,45,41,122,5,122,117
4409178SE,4,1,3,2,14,2,13,11
4409181CE,50,7,43,36,89,70,82,12
4409182CE,54,9,45,36,90,71,77,6
4409183CE,137,22,115,93,105,26,103,77
4409183CW,33,2,31,29,74,3,74,71
4409183NE,53,20,33,13,110,58,98,40
4409183NW,69,54,15,-39,63,50,35,-15
4409183SE,6,1,5,4,42,1,41,40
4409183SW,14,1,13,12,41,1,40,39
4409184CE,160,15,145,130,119,59,117,58
4409184CW,9,1,8,7,41,1,41,40
4409184NE,13,2,11,9,50,2,49,47
4409184SE,23,6,17,11,42,6,40,34
4409184SW,10,4,6,2,21,3,20,17
4409185CE,54,9,45,36,98,65,89,24
4409185SW,21,20,1,-19,38,37,2,-35
4409186CE,29,12,17,5,87,71,66,-5
4409187CE,81,8,73,65,131,64,125,61
4409187CW,12,1,11,10,56,2,55,53
4409187NE,27,1,26,25,102,3,102,99
4409187SE,20,2,18,16,59,2,59,57
4409187SW,136,10,126,116,123,13,122,109
4409188CE,77,17,60,43,134,79,126,47
4409188NE,8,1,7,6,59,1,58,57
4409188SE,49,5,44,39,128,4,127,123
4409241CE,38,22,16,-6,102,80,82,2
4409241CW,22,2,20,18,92,25,90,65
4409241NE,24,9,15,6,98,73,78,5
4409241NW,49,10,39,29,119,98,107,9
4409241SE,52,8,44,36,101,76,86,10
4409242CE,40,1,39,38,93,1,93,92
4409242CW,8,1,7,6,26,1,25,24
4409251CE,48,11,37,26,127,86,122,36
4409251NE,8,1,7,6,71,5,69,64
4409251SE,26,6,20,14,102,65,100,35
4409251SW,14,1,13,12,75,2,74,72
4409252CE,77,13,64,51,107,80,93,13
4409253CE,117,17,100,83,93,75,84,9
4409253CW,43,1,42,41,57,1,57,56
4409261CE,58,4,54,50,86,70,75,5
4409261SE,6,1,5,4,51,1,51,50
4409262CE,62,7,55,48,77,64,69,5
4409262SE,8,1,7,6,44,1,43,42
4409263CE,58,12,46,34,79,65,72,7
4409264CE,69,13,56,43,75,60,67,7
4409264NW,3,2,1,-1,4,2,2,0
4409265CE,50,11,39,28,86,62,84,22
4409266CE,44,8,36,28,83,65,78,13
4409271CE,67,5,62,57,88,63,85,22
4409272CE,48,12,36,24,91,70,80,10
4409272NW,23,2,21,19,84,1,84,83
4409273CE,83,28,55,27,98,88,85,-3
4409273NE,31,2,29,27,55,2,53,51
4409273NW,7,1,6,5,36,1,36,35
4409274CE,57,15,42,27,86,66,77,11
4409274NE,32,31,1,-30,66,64,17,-47
4409275CE,75,30,45,15,104,97,83,-14
4409275NW,17,1,16,15,40,1,40,39
4409276CE,71,10,61,51,90,75,78,3
4409276CW,9,1,8,7,59,1,58,57
4409276SW,10,1,9,8,44,1,43,42
4409277SE,73,64,9,-55,126,126,12,-114
4409281CE,109,4,105,101,89,64,85,21
4409281CW,18,4,14,10,66,4,62,58
4409282CE,25,6,19,13,94,68,85,17
4409283CE,45,3,42,39,87,60,85,25
4409284CE,34,8,26,18,78,55,71,16
4409284SE,6,1,5,4,40,1,39,38
