atlas_block,checklists_total,checklists_Atlas1,checklists_Atlas2,checklists_diff,sr_total,sr_Atlas1,sr_Atlas2,sr_diff
4308738NE,166,16,150,134,174,28,173,145
4308738NW,59,1,58,57,81,1,81,80
4308738SE,17,1,16,15,66,1,66,65
4308738SW,122,54,68,14,108,54,100,46
4308747NE,156,5,151,146,178,15,178,163
4308747NW,178,7,171,164,158,10,155,145
4308747SW,119,5,114,109,138,8,138,130
4308748CE,134,39,95,56,141,87,125,38
4308748CW,91,39,52,13,116,62,109,47
4308748NE,67,9,58,49,93,31,86,55
4308748NW,52,1,51,50,102,1,101,100
4308748SE,46,1,45,44,84,1,84,83
4308748SW,44,1,43,42,111,1,111,110
4308757CW,62,4,58,54,81,7,78,71
4308757NW,86,32,54,22,90,27,90,63
4308757SE,20,1,19,18,69,1,69,68
4308757SW,244,12,232,220,145,21,143,122
4308758CE,31,4,27,23,101,65,93,28
4308758NE,8,3,5,2,12,3,9,6
4308758SE,74,11,63,52,83,13,82,69
4308766CW,72,6,66,60,141,52,139,87
4308766NW,47,7,40,33,100,1,100,99
4308766SW,57,3,54,51,135,62,132,70
4308767CE,63,9,54,45,82,61,73,12
4308767CW,46,1,45,44,63,1,62,61
4308767NE,168,146,22,-124,86,70,64,-6
4308767SW,76,10,66,56,69,10,67,57
4308768CE,33,5,28,23,77,57,68,11
4308768SW,14,2,12,10,31,2,29,27
4308776SW,106,5,101,96,138,5,136,131
4308777CE,65,6,59,53,92,62,83,21
4308777NW,10,2,8,6,43,14,41,27
4308778CE,64,23,41,18,76,44,64,20
4308778NE,133,130,3,-127,76,74,3,-71
4308778NW,16,2,14,12,56,2,56,54
4308786CW,29,1,28,27,135,1,135,134
4308786NW,65,1,64,63,145,1,145,144
4308787CE,59,5,54,49,107,67,102,35
4308787SE,13,1,12,11,64,1,64,63
4308788CE,134,36,98,62,135,97,117,20
4308788CW,21,4,17,13,67,23,60,37
4308811CE,147,45,102,57,121,57,114,57
4308811CW,39,7,32,25,39,7,38,31
4308811NE,33,8,25,17,95,6,95,89
4308811NW,19,8,11,3,31,5,29,24
4308811SE,287,32,255,223,117,49,114,65
4308811SW,30,8,22,14,53,7,52,45
4308812CE,75,48,27,-21,75,58,65,7
4308812CW,111,22,89,67,102,37,94,57
