atlas_block,checklists_Atlas2,checklists_Atlas1,checklists_total,mins_Atlas2,mins_Atlas1,mins_total,mins_diff,mins_diff_z,sr_total,sr_Atlas1,sr_Atlas2,sr_diff,sr_diff_z
4208887SE,34,5,39,653,420,1073,233,-0.08162298559931659,121,49,120,71,1.1142759793531611
4208887SW,15,6,21,139,90,229,49,-0.15062127587129281,53,9,48,39,0.16808934880708465
4208888CE,102,19,121,2006,2442,4448,-436,-0.3324917692512302,107,72,97,25,-0.24586730205682383
4208888CW,10,66,76,228,5310,5538,-5082,-2.07469859861863,84,76,51,-25,-1.7242839122850684
4208888NE,66,3,69,4487,60,4547,4427,1.4910880437521417,138,12,138,126,2.74053425060423
4208888NW,30,48,78,1105,2500.2,3605.2,-1395.1999999999998,-0.6921828563647062,122,81,105,24,-0.27543563426138873
4208888SE,44,11,55,2721,1746,4467,975,0.19662011973658752,120,81,114,33,-0.009320644420304698
4208888SW,8,32,40,37,2496,2533,-2459,-1.0910979715349687,80,73,30,-43,-2.2565138919672365
4208951CE,66,5,71,3560,870,4430,2690,0.839729183956366,136,59,135,76,1.2621176403759855
4208951NE,31,5,36,1262,0,1262,1262,0.3042424529325504,103,7,103,96,1.8534842844672834
4208951NW,9,5,14,535,0,535,535,0.0316242082166444,60,3,59,56,0.6707509962846878
4208951SE,57,1,58,1230,0,1230,1230,0.29224275027655455,89,1,89,88,1.6169376268307643
4208952CE,41,12,53,1434,1560,2994,-126,-0.21624464977127023,85,48,80,32,-0.03888897662486959
4208952SE,8,20,28,143,2040,2183,-1897,-0.8803531936390413,79,70,51,-19,-1.546873919057679
4208953CE,81,9,90,2959,1500,4459,1459,0.378115622408525,107,65,104,39,0.16808934880708465
4208953CW,27,2,29,533,0,533,533,0.030874226800644652,101,2,101,99,1.942189281080978
4208953NW,40,6,46,376,0,376,376,-0.02799931435533506,83,24,80,56,0.6707509962846878
4208953SE,53,8,61,2464,1020,3484,1444,0.3724907617885269,128,68,127,59,0.7594559928983825
4208953SW,25,3,28,1357,1080,2437,277,-0.06512339444732226,120,49,118,69,1.0551393149440313
4208954CE,36,5,41,1860,1320,3180,540,0.03349916175664375,105,50,101,51,0.5229093352618633
4208955CE,32,6,38,1349,1080,2429,269,-0.06812332011132123,77,35,75,40,0.19765768101164954
4208955NE,2,1,3,39,0,39,39,-0.1543711829512915,36,1,35,34,0.020247687784260192
4208956CE,33,6,39,1394,900,2294,494,0.01624958918864969,72,43,67,24,-0.27543563426138873
4208957CE,112,6,118,4890,2520,7410,2370,0.7197321573964073,141,76,138,62,0.8481609895120771
4208957NE,23,1,24,544,0,544,544,0.03499912458864323,92,1,92,91,1.705642623444459
4208958CE,28,12,40,1454,2028,3482,-574,-0.38424048695521235,85,62,79,17,-0.48241395969334294
4208961CE,83,9,92,7707,1455,9162,6252,2.1754460858519056,113,63,106,43,0.28636267762534423
4208961CW,48,3,51,4150,0,4150,4150,1.3872156176361774,119,3,119,116,2.4448509285585813
4208961NW,30,14,44,2178,0,2178,2178,0.6477339414604321,100,14,99,85,1.5282326302170697
4208962CE,57,4,61,1187,930,2117,257,-0.07262320860731969,74,44,69,25,-0.24586730205682383
4208963CE,16,6,22,1588,750,2338,838,0.14524639274060525,100,51,98,47,0.40463600644360376
4208963SW,5,2,7,22,0,22,22,-0.16074602498728932,19,2,18,16,-0.5119822918979079
4208964CE,43,20,63,1211,5430,6641,-4219,-1.7510816176147415,100,83,94,11,-0.6598239529207323
4208964CW,54,11,65,2213,1350,3563,863,0.154621160440602,97,65,94,29,-0.12759397323856425
4208964NE,11,2,13,95,240,335,-145,-0.22336947322326778,68,27,60,33,-0.009320644420304698
4208964NW,55,3,58,3057,300,3357,2757,0.8648535613923574,116,32,116,84,1.4986642980125047
4208964SE,38,3,41,1987,360,2347,1627,0.4411140613525033,130,48,128,80,1.380390969194245
4208964SW,1,2,3,2,120,122,-118,-0.21324472410727124,20,19,1,-18,-1.5173055868531142
4208965CE,46,16,62,1364,2250,3614,-886,-0.501237587851172,97,75,81,6,-0.8076656139435567
4208965NW,2,1,3,10,0,10,10,-0.16524591348328777,3,1,2,1,-0.9555072749663812
4208965SW,31,2,33,90,0,90,90,-0.13524665684329812,42,4,42,38,0.13852101660251975
4208966CE,38,11,49,1268,1500,2768,-232,-0.2559936648192565,83,60,72,12,-0.6302556207161674
4208966NW,1,2,3,34,0,34,34,-0.15624613649129088,19,2,17,15,-0.5415506241024727
4208967CE,42,10,52,2167,3852,6019,-1685,-0.8008551635430687,91,84,79,-5,-1.1329172681937705
4208967CW,18,1,19,261,0,261,261,-0.0711232457753202,55,1,54,53,0.5820459996709931
4208967NE,5,4,9,50,0,50,50,-0.15024628516329294,50,2,48,46,0.37506767423903886
4208967NW,2,30,32,105,0,105,105,-0.12962179622330006,58,58,9,-49,-2.4339238851946257
4208967SW,48,1,49,195,0,195,195,-0.09587263250331167,57,2,56,54,0.611614331875558
4208968CE,43,6,49,1789,1680,3469,109,-0.12812183339130057,96,61,93,32,-0.03888897662486959
4208971CE,47,37,84,3340,3060,6400,280,-0.06399842232332266,106,62,92,30,-0.09802564103399937
4208971NW,16,1,17,328,0,328,328,-0.04599886833932886,79,1,78,77,1.2916859725805505
4208971SE,5,1,6,0,0,0,0,-0.1689958205632865,8,1,7,6,-0.8076656139435567
4208971SW,6,3,9,50,180,230,-130,-0.21774461260326972,50,36,40,4,-0.8668022783526865
4208972CE,52,8,60,1729,1530,3259,199,-0.09437266967131219,101,63,94,31,-0.06845730882943447
4208972NE,19,1,20,1068,0,1068,1068,0.23149425558057551,73,2,73,71,1.1142759793531611
4208973CE,58,5,63,1197,780,1977,417,-0.01262469532734036,101,44,96,52,0.5524776674664282
4208973SE,18,5,23,1296,0,1296,1296,0.31699213700454604,90,5,90,85,1.5282326302170697
4208973SW,7,8,15,90,0,90,90,-0.13524665684329812,42,12,37,25,-0.24586730205682383
4208974CE,40,4,44,1193,1638,2831,-445,-0.335866685623229,97,51,92,41,0.22722601321621444
4208974NW,100,57,157,7391,9534,16925,-2143,-0.9726009078070096,121,105,111,6,-0.8076656139435567
4208975CE,48,14,62,2174,1890,4064,284,-0.062498459491323176,94,74,84,10,-0.6893922851252972
4208975NE,26,2,28,578,0,578,578,0.04774880866063884,55,3,54,51,0.5229093352618633
4208976CE,119,19,138,3665,1170,4835,2495,0.7666059958963911,96,81,88,7,-0.7780972817389918
4208976CW,2,1,3,79,0,79,79,-0.1393715546312967,24,1,23,22,-0.3345722986705185
4208976NW,10,8,18,70,0,70,70,-0.14274647100329552,49,8,44,36,0.07938435219338998
4208976SE,14,3,17,990,540,1530,450,-2.5000196334462274e-4,74,17,74,57,0.7003193284892527
4208977CE,97,26,123,3305,6486,9791,-3181,-1.3618412627108754,96,84,88,4,-0.8668022783526865
4208977CW,3,6,9,11,0,11,11,-0.1648709227752879,31,7,29,22,-0.3345722986705185
4208977NE,43,5,48,2112,0,2112,2112,0.6229845547324406,100,6,98,92,1.7352109556490238
4208978CE,47,17,64,1721,6420,8141,-4699,-1.9310771574546794,93,80,85,5,-0.8372339461481216
4208978NE,1,28,29,0,2700,2700,-2700,-1.1814707321629376,66,66,15,-51,-2.4930605496037557
4208978SW,34,16,50,2256,4950,7206,-2694,-1.1792207879149383,149,87,134,47,0.40463600644360376
4208981CE,82,16,98,4637,2310,6947,2327,0.7036075569524128,117,74,110,36,0.07938435219338998
4208981NE,25,3,28,1565,15,1580,1550,0.41223977683651325,105,7,104,97,1.8830526166718482
4208981SE,25,1,26,1719,0,1719,1719,0.4756132064884914,84,1,84,83,1.4690959658079399
4208982CE,111,9,120,4101,690,4791,3411,1.1100974844242728,103,51,98,47,0.40463600644360376
4208982CW,70,6,76,2807,0,2807,2807,0.8836030967923509,116,6,115,109,2.237872603126627
4208982SW,20,1,21,330,0,330,330,-0.04524888692332912,66,1,66,65,0.9368659861257718
4208983CE,40,41,81,1662,2235,3897,-573,-0.38386549624721245,110,83,95,12,-0.6302556207161674
4208983CW,56,3,59,1884,0,1884,1884,0.5374866733084701,108,4,107,103,2.0604626098992376
4208983NE,75,2,77,2365,0,2365,2365,0.7178572038564079,113,2,112,110,2.2674409353311917
4208983NW,67,2,69,1458,0,1458,1458,0.37774063170052513,116,2,115,113,2.3561459319448868
4208983SE,16,1,17,117,0,117,117,-0.12512190772730158,55,1,55,54,0.611614331875558
4208984CE,92,11,103,3589,1500,5089,2089,0.6143597684484436,140,51,138,87,1.5873692946261995
4208984NW,39,1,40,1308,0,1308,1308,0.3214920255005445,90,2,90,88,1.6169376268307643
4208985CE,38,5,43,1825,1830,3655,-5,-0.17087077410328583,107,75,99,24,-0.27543563426138873
4208985CW,19,10,29,1469,0,1469,1469,0.3818655294885237,88,23,84,61,0.8185926573075123
